Link,Description
https://www.zalando.co.uk/twisted-tailor-kember-shirt-shirt-greyblue-twc22d01c-c12.html,KEMBER SHIRT - Shirt - grey/blue
https://www.zalando.co.uk/boss-roan-shirt-black-bb122d17d-q11.html,ROAN - Shirt - black
https://www.zalando.co.uk/allsaints-eivissa-shirt-jet-black-a0q22d0oq-q11.html,EIVISSA - Shirt - jet black
https://www.zalando.co.uk/mango-ginza-h-shirt-azul-celeste-m9122d2dr-k11.html,GINZA-H - Shirt - azul celeste
https://www.zalando.co.uk/kronstadt-dean-shirt-kr122d000-c11.html,DEAN  - Shirt - grey
https://www.zalando.co.uk/only-and-sons-onsdan-life-shirt-oil-green-os322d0jb-m11.html,ONSDAN LIFE SHIRT - Shirt - oil green
https://www.zalando.co.uk/hugo-ebor-shirt-open-blue-hu722d0mh-k11.html,EBOR - Shirt - open blue
https://www.zalando.co.uk/hugo-ebor-shirt-open-white-hu722d0mh-a11.html,EBOR - Shirt - open white
https://www.zalando.co.uk/selected-homme-shirt-medium-blue-denim-se622d14b-k12.html,SLHREGRICK - Shirt - medium blue denim
https://www.zalando.co.uk/superdry-shirt-blue-bonnet-stripe-su222d0mn-k12.html,STUDIOS BUTTON DOWN  - Shirt - blue bonnet stripe
https://www.zalando.co.uk/boss-shirt-medium-beige-bb122d1ac-b11.html,Shirt - medium beige
https://www.zalando.co.uk/hackett-london-shirt-mint-ht622d0dv-m11.html,GARMENT DYED - Shirt - mint
https://www.zalando.co.uk/jack-and-jones-premium-jprblasummer-shirt-white-jam22d0c2-a11.html,JPRBLASUMMER - Shirt - white
https://www.zalando.co.uk/tommy-hilfiger-flex-shirt-regular-fit-shirt-regatta-red-to122d0zh-g11.html,FLEX SHIRT - Shirt - regatta red
https://www.zalando.co.uk/carhartt-wip-salinac-shirt-maitland-shirt-black-stone-washed-c1422d05k-q12.html,SALINAC MAITLAND - Shirt - black stone washed
https://www.zalando.co.uk/g-star-3301-slim-shirt-mens-shirt-gs122d0e6-k12.html,3301 SLIM - Shirt - light aged
https://www.zalando.co.uk/boss-rickert-cardigan-dark-blue-bb122d196-h11.html,RICKERT - Shirt - light/pastel orange
https://www.zalando.co.uk/polo-ralph-lauren-long-sleeve-shirt-chino-pink-po222p03w-j18.html,LONG SLEEVE - Shirt - chino pink
https://www.zalando.co.uk/hugo-elvory-shirt-open-green-hu722d0pi-m11.html,ELVORY - Shirt - open green
https://www.zalando.co.uk/just-cavalli-camicie-shirt-black-ju622d07i-q11.html,CAMICIE - Shirt - black
https://www.zalando.co.uk/only-and-sons-onsgudmund-noos-shirt-os322d044-g12.html,ONSGUDMUND LIFE - Shirt - cabernet
https://www.zalando.co.uk/only-and-sons-onscamon-overshirt-shirt-light-blue-denim-os322t0ic-k11.html,ONSCAMON OVERSHIRT - Shirt - light blue denim
https://www.zalando.co.uk/polo-ralph-lauren-long-sleeve-shirt-black-po222p03w-q15.html,LONG SLEEVE - Shirt -  black
https://www.zalando.co.uk/only-and-sons-onstrev-shirt-nirvana-os322d0p1-i11.html,ONSTREV - Shirt - nirvana
https://www.zalando.co.uk/jack-and-jones-jjejeff-resort-floral-shirt-cloud-dancer-ja222d2e8-b11.html,JJEJEFF RESORT FLORAL - Shirt - cloud dancer
https://www.zalando.co.uk/pier-one-shirt-brown-pi922d0cv-o11.html,Shirt - brown
https://www.zalando.co.uk/levis-barstow-western-standard-shirt-fresh-folks-le222d07e-k21.html,BARSTOW WESTERN STANDARD - Shirt - fresh folks
https://www.zalando.co.uk/bruuns-bazaar-sky-home-shirt-kit-flowers-br322d017-a11.html,SKY HOME - Shirt - kit flowers
https://www.zalando.co.uk/kronstadt-dean-shirt-claret-red-kr122d009-g11.html,DEAN - Shirt - claret red
https://www.zalando.co.uk/michael-kors-evening-slim-fit-formal-shirt-white-1mi22d06s-a11.html,EVENING SLIM FIT - Formal shirt - white
https://www.zalando.co.uk/boss-formal-shirt-light-pastel-blue-bb122d0yo-k11.html,JOE - Shirt - light pastel blue
https://www.zalando.co.uk/polo-ralph-lauren-short-sleeve-sport-shirt-shirt-white-po222d0yl-k11.html,SHORT SLEEVE SPORT SHIRT - Shirt - white
https://www.zalando.co.uk/superdry-washed-oxford-shirt-city-pink-su222d0ml-j11.html,WASHED OXFORD - Shirt - city pink
https://www.zalando.co.uk/kronstadt-dean-shirt-navy-kr122d000-k11.html,DEAN  - Shirt - navy
https://www.zalando.co.uk/dickies-eddyville-shirt-assorted-colour-di622d05i-t11.html,EDDYVILLE - Shirt - assorted colour
